ImageNo,ReaderID,CaseID,Modality ,Score
156,truth ,Actual236 ,truth ,1
157,Reader2 ,Actual237 ,modalityA ,1
158,truth ,Actual237 ,truth ,1
159,Reader2 ,Actual238 ,modalityA ,1
160,truth ,Actual238 ,truth ,1
161,Reader2 ,Actual239 ,modalityA ,1
162,truth ,Actual239 ,truth ,1
163,Reader2 ,Actual240 ,modalityA ,1
164,truth ,Actual240 ,truth ,1
165,Reader2 ,Actual241 ,modalityA ,1
166,truth ,Actual241 ,truth ,1
167,Reader2 ,Actual242 ,modalityA ,1
168,truth ,Actual242 ,truth ,1
169,Reader3 ,Actual301 ,modalityA ,1
170,truth ,Actual301 ,truth ,1
171,Reader3 ,Actual302 ,modalityA ,1
172,truth ,Actual302 ,truth ,1
173,Reader3 ,Actual303 ,modalityA ,1
174,truth ,Actual303 ,truth ,1
175,Reader3 ,Actual304 ,modalityA ,1
176,truth ,Actual304 ,truth ,1
177,Reader3 ,Actual305 ,modalityA ,0
178,truth ,Actual305 ,truth ,1
179,Reader3 ,Actual306 ,modalityA ,1
180,truth ,Actual306 ,truth ,1
181,Reader3 ,Actual307 ,modalityA ,1
182,truth ,Actual307 ,truth ,1
183,Reader3 ,Actual308 ,modalityA ,1
184,truth ,Actual308 ,truth ,1
185,Reader3 ,Actual309 ,modalityA ,1
186,truth ,Actual309 ,truth ,1
187,Reader3 ,Actual310 ,modalityA ,0
188,truth ,Actual310 ,truth ,1
189,Reader3 ,Actual311 ,modalityA ,1
190,truth ,Actual311 ,truth ,1
191,Reader3 ,Actual312 ,modalityA ,1
192,truth ,Actual312 ,truth ,1
193,Reader3 ,Actual313 ,modalityA ,1
194,truth ,Actual313 ,truth ,1
195,Reader3 ,Actual314 ,modalityA ,1
196,truth ,Actual314 ,truth ,1
197,Reader3 ,Actual315 ,modalityA ,0
198,truth ,Actual315 ,truth ,1
199,Reader3 ,Actual316 ,modalityA ,1
200,truth ,Actual316 ,truth ,1
201,Reader3 ,Actual317 ,modalityA ,1
202,truth ,Actual317 ,truth ,1
203,Reader3 ,Actual318 ,modalityA ,1
204,truth ,Actual318 ,truth ,1
205,Reader3 ,Actual319 ,modalityA ,1
206,truth ,Actual319 ,truth ,1
207,Reader3 ,Actual320 ,modalityA ,0
208,truth ,Actual320 ,truth ,1
209,Reader3 ,Actual321 ,modalityA ,1
210,truth ,Actual321 ,truth ,1
211,Reader3 ,Actual322 ,modalityA ,1
212,truth ,Actual322 ,truth ,1
213,Reader3 ,Actual323 ,modalityA ,1
214,truth ,Actual323 ,truth ,1
215,Reader3 ,Actual324 ,modalityA ,1
216,truth ,Actual324 ,truth ,1
217,Reader3 ,Actual325 ,modalityA ,0
218,truth ,Actual325 ,truth ,1
219,Reader3 ,Actual326 ,modalityA ,1
220,truth ,Actual326 ,truth ,1
221,Reader3 ,Actual327 ,modalityA ,1
222,truth ,Actual327 ,truth ,1
223,Reader3 ,Actual328 ,modalityA ,1
224,truth ,Actual328 ,truth ,1
225,Reader3 ,Actual329 ,modalityA ,1
226,truth ,Actual329 ,truth ,1
227,Reader3 ,Actual330 ,modalityA ,0
228,truth ,Actual330 ,truth ,1
229,Reader3 ,Actual331 ,modalityA ,1
230,truth ,Actual331 ,truth ,1
231,Reader3 ,Actual332 ,modalityA ,1
232,truth ,Actual332 ,truth ,1
233,Reader3 ,Actual333 ,modalityA ,1
234,truth ,Actual333 ,truth ,1
235,Reader3 ,Actual334 ,modalityA ,1
236,truth ,Actual334 ,truth ,1
237,Reader3 ,Actual335 ,modalityA ,0
238,truth ,Actual335 ,truth ,1
239,Reader3 ,Actual336 ,modalityA ,1
240,truth ,Actual336 ,truth ,1
241,Reader3 ,Actual337 ,modalityA ,1
242,truth ,Actual337 ,truth ,1
243,Reader3 ,Actual338 ,modalityA ,1
244,truth ,Actual338 ,truth ,1
245,Reader3 ,Actual339 ,modalityA ,1
246,truth ,Actual339 ,truth ,1
247,Reader3 ,Actual340 ,modalityA ,0
248,truth ,Actual340 ,truth ,1
249,Reader3 ,Actual341 ,modalityA ,1
250,truth ,Actual341 ,truth ,1
251,Reader3 ,Actual342 ,modalityA ,1
252,truth ,Actual342 ,truth ,1
253,Reader4 ,Actual401 ,modalityA ,1
254,truth ,Actual401 ,truth ,1
255,Reader4 ,Actual402 ,modalityA ,1
256,truth ,Actual402 ,truth ,1
257,Reader4 ,Actual403 ,modalityA ,1
258,truth ,Actual403 ,truth ,1
259,Reader4 ,Actual404 ,modalityA ,1
260,truth ,Actual404 ,truth ,1
261,Reader4 ,Actual405 ,modalityA ,1
262,truth ,Actual405 ,truth ,1
263,Reader4 ,Actual406 ,modalityA ,1
264,truth ,Actual406 ,truth ,1
265,Reader4 ,Actual407 ,modalityA ,1
266,truth ,Actual407 ,truth ,1
267,Reader4 ,Actual408 ,modalityA ,1
268,truth ,Actual408 ,truth ,1
269,Reader4 ,Actual409 ,modalityA ,1
270,truth ,Actual409 ,truth ,1
271,Reader4 ,Actual410 ,modalityA ,1
272,truth ,Actual410 ,truth ,1
273,Reader4 ,Actual411 ,modalityA ,1
274,truth ,Actual411 ,truth ,1
275,Reader4 ,Actual412 ,modalityA ,1
276,truth ,Actual412 ,truth ,1
277,Reader4 ,Actual413 ,modalityA ,1
278,truth ,Actual413 ,truth ,1
279,Reader4 ,Actual414 ,modalityA ,1
280,truth ,Actual414 ,truth ,1
281,Reader4 ,Actual415 ,modalityA ,1
282,truth ,Actual415 ,truth ,1
283,Reader4 ,Actual416 ,modalityA ,1
284,truth ,Actual416 ,truth ,1
285,Reader4 ,Actual417 ,modalityA ,0
286,truth ,Actual417 ,truth ,1
287,Reader4 ,Actual418 ,modalityA ,1
288,truth ,Actual418 ,truth ,1
289,Reader4 ,Actual419 ,modalityA ,1
290,truth ,Actual419 ,truth ,1
291,Reader4 ,Actual420 ,modalityA ,0
292,truth ,Actual420 ,truth ,1
293,Reader4 ,Actual421 ,modalityA ,1
294,truth ,Actual421 ,truth ,1
295,Reader4 ,Actual422 ,modalityA ,1
296,truth ,Actual422 ,truth ,1
297,Reader4 ,Actual423 ,modalityA ,1
298,truth ,Actual423 ,truth ,1
299,Reader4 ,Actual424 ,modalityA ,1
300,truth ,Actual424 ,truth ,1
301,Reader4 ,Actual425 ,modalityA ,1
302,truth ,Actual425 ,truth ,1
303,Reader4 ,Actual426 ,modalityA ,1
304,truth ,Actual426 ,truth ,1
305,Reader4 ,Actual427 ,modalityA ,1
306,truth ,Actual427 ,truth ,1
307,Reader4 ,Actual428 ,modalityA ,1
308,truth ,Actual428 ,truth ,1
309,Reader4 ,Actual429 ,modalityA ,1
310,truth ,Actual429 ,truth ,1
311,Reader4 ,Actual430 ,modalityA ,1
312,truth ,Actual430 ,truth ,1
313,Reader4 ,Actual431 ,modalityA ,1
314,truth ,Actual431 ,truth ,1
315,Reader4 ,Actual432 ,modalityA ,1
316,truth ,Actual432 ,truth ,1
317,Reader4 ,Actual433 ,modalityA ,1
318,truth ,Actual433 ,truth ,1
319,Reader4 ,Actual434 ,modalityA ,1
320,truth ,Actual434 ,truth ,1
321,Reader4 ,Actual435 ,modalityA ,1
322,truth ,Actual435 ,truth ,1
323,Reader4 ,Actual436 ,modalityA ,1
324,truth ,Actual436 ,truth ,1
325,Reader4 ,Actual437 ,modalityA ,1
326,truth ,Actual437 ,truth ,1
327,Reader4 ,Actual438 ,modalityA ,1
328,truth ,Actual438 ,truth ,1
329,Reader4 ,Actual439 ,modalityA ,1
330,truth ,Actual439 ,truth ,1
331,Reader4 ,Actual440 ,modalityA ,1
332,truth ,Actual440 ,truth ,1
333,Reader4 ,Actual441 ,modalityA ,1
334,truth ,Actual441 ,truth ,1
335,Reader4 ,Actual442 ,modalityA ,1
336,truth ,Actual442 ,truth ,1
337,Reader5 ,Actual501 ,modalityA ,1
338,truth ,Actual501 ,truth ,1
339,Reader5 ,Actual502 ,modalityA ,1
340,truth ,Actual502 ,truth ,1
341,Reader5 ,Actual503 ,modalityA ,1
342,truth ,Actual503 ,truth ,1
343,Reader5 ,Actual504 ,modalityA ,1
344,truth ,Actual504 ,truth ,1
345,Reader5 ,Actual505 ,modalityA ,0
346,truth ,Actual505 ,truth ,1
347,Reader5 ,Actual506 ,modalityA ,1
348,truth ,Actual506 ,truth ,1
349,Reader5 ,Actual507 ,modalityA ,1
350,truth ,Actual507 ,truth ,1
351,Reader5 ,Actual508 ,modalityA ,1
352,truth ,Actual508 ,truth ,1
353,Reader5 ,Actual509 ,modalityA ,1
354,truth ,Actual509 ,truth ,1
355,Reader5 ,Actual510 ,modalityA ,0
356,truth ,Actual510 ,truth ,1
357,Reader5 ,Actual511 ,modalityA ,1
358,truth ,Actual511 ,truth ,1
359,Reader5 ,Actual512 ,modalityA ,1
360,truth ,Actual512 ,truth ,1
361,Reader5 ,Actual513 ,modalityA ,1
362,truth ,Actual513 ,truth ,1
363,Reader5 ,Actual514 ,modalityA ,1
364,truth ,Actual514 ,truth ,1
365,Reader5 ,Actual515 ,modalityA ,0
366,truth ,Actual515 ,truth ,1
367,Reader5 ,Actual516 ,modalityA ,1
368,truth ,Actual516 ,truth ,1
369,Reader5 ,Actual517 ,modalityA ,1
370,truth ,Actual517 ,truth ,1
371,Reader5 ,Actual518 ,modalityA ,1
372,truth ,Actual518 ,truth ,1
373,Reader5 ,Actual519 ,modalityA ,1
374,truth ,Actual519 ,truth ,1
375,Reader5 ,Actual520 ,modalityA ,0
376,truth ,Actual520 ,truth ,1
377,Reader5 ,Actual521 ,modalityA ,1
378,truth ,Actual521 ,truth ,1
379,Reader5 ,Actual522 ,modalityA ,1
380,truth ,Actual522 ,truth ,1
381,Reader5 ,Actual523 ,modalityA ,1
382,truth ,Actual523 ,truth ,1
383,Reader5 ,Actual524 ,modalityA ,1
384,truth ,Actual524 ,truth ,1
385,Reader5 ,Actual525 ,modalityA ,0
386,truth ,Actual525 ,truth ,1
387,Reader5 ,Actual526 ,modalityA ,1
388,truth ,Actual526 ,truth ,1
389,Reader5 ,Actual527 ,modalityA ,1
390,truth ,Actual527 ,truth ,1
391,Reader5 ,Actual528 ,modalityA ,1
392,truth ,Actual528 ,truth ,1
393,Reader5 ,Actual529 ,modalityA ,1
394,truth ,Actual529 ,truth ,1
395,Reader5 ,Actual530 ,modalityA ,0
396,truth ,Actual530 ,truth ,1
397,Reader5 ,Actual531 ,modalityA ,1
398,truth ,Actual531 ,truth ,1
399,Reader5 ,Actual532 ,modalityA ,1
400,truth ,Actual532 ,truth ,1
401,Reader5 ,Actual533 ,modalityA ,1
402,truth ,Actual533 ,truth ,1
403,Reader5 ,Actual534 ,modalityA ,1
404,truth ,Actual534 ,truth ,1
405,Reader5 ,Actual535 ,modalityA ,0
406,truth ,Actual535 ,truth ,1
407,Reader5 ,Actual536 ,modalityA ,1
408,truth ,Actual536 ,truth ,1
409,Reader5 ,Actual537 ,modalityA ,1
410,truth ,Actual537 ,truth ,1
411,Reader5 ,Actual538 ,modalityA ,1
412,truth ,Actual538 ,truth ,1
413,Reader5 ,Actual539 ,modalityA ,1
414,truth ,Actual539 ,truth ,1
415,Reader5 ,Actual540 ,modalityA ,0
416,truth ,Actual540 ,truth ,1
417,Reader5 ,Actual541 ,modalityA ,1
418,truth ,Actual541 ,truth ,1
419,Reader5 ,Actual542 ,modalityA ,1
420,truth ,Actual542 ,truth ,1
421,Reader6 ,Actual601 ,modalityA ,1
422,truth ,Actual601 ,truth ,1
423,Reader6 ,Actual602 ,modalityA ,1
424,truth ,Actual602 ,truth ,1
425,Reader6 ,Actual603 ,modalityA ,1
426,truth ,Actual603 ,truth ,1
427,Reader6 ,Actual604 ,modalityA ,1
428,truth ,Actual604 ,truth ,1
429,Reader6 ,Actual605 ,modalityA ,1
430,truth ,Actual605 ,truth ,1
431,Reader6 ,Actual606 ,modalityA ,1
432,truth ,Actual606 ,truth ,1
433,Reader6 ,Actual607 ,modalityA ,1
434,truth ,Actual607 ,truth ,1
435,Reader6 ,Actual608 ,modalityA ,1
436,truth ,Actual608 ,truth ,1
437,Reader6 ,Actual609 ,modalityA ,1
438,truth ,Actual609 ,truth ,1
439,Reader6 ,Actual610 ,modalityA ,1
440,truth ,Actual610 ,truth ,1
441,Reader6 ,Actual611 ,modalityA ,1
442,truth ,Actual611 ,truth ,1
443,Reader6 ,Actual612 ,modalityA ,1
444,truth ,Actual612 ,truth ,1
445,Reader6 ,Actual613 ,modalityA ,1
446,truth ,Actual613 ,truth ,1
447,Reader6 ,Actual614 ,modalityA ,1
448,truth ,Actual614 ,truth ,1
449,Reader6 ,Actual615 ,modalityA ,1
450,truth ,Actual615 ,truth ,1
451,Reader6 ,Actual616 ,modalityA ,1
452,truth ,Actual616 ,truth ,1
453,Reader6 ,Actual617 ,modalityA ,0
454,truth ,Actual617 ,truth ,1
455,Reader6 ,Actual618 ,modalityA ,1
456,truth ,Actual618 ,truth ,1
457,Reader6 ,Actual619 ,modalityA ,1
458,truth ,Actual619 ,truth ,1
459,Reader6 ,Actual620 ,modalityA ,0
460,truth ,Actual620 ,truth ,1
461,Reader6 ,Actual621 ,modalityA ,1
462,truth ,Actual621 ,truth ,1
463,Reader6 ,Actual622 ,modalityA ,1
464,truth ,Actual622 ,truth ,1
465,Reader6 ,Actual623 ,modalityA ,1
466,truth ,Actual623 ,truth ,1
467,Reader6 ,Actual624 ,modalityA ,1
468,truth ,Actual624 ,truth ,1
469,Reader6 ,Actual625 ,modalityA ,1
470,truth ,Actual625 ,truth ,1
471,Reader6 ,Actual626 ,modalityA ,1
472,truth ,Actual626 ,truth ,1
473,Reader6 ,Actual627 ,modalityA ,1
474,truth ,Actual627 ,truth ,1
475,Reader6 ,Actual628 ,modalityA ,1
476,truth ,Actual628 ,truth ,1
477,Reader6 ,Actual629 ,modalityA ,1
478,truth ,Actual629 ,truth ,1
479,Reader6 ,Actual630 ,modalityA ,1
480,truth ,Actual630 ,truth ,1
481,Reader6 ,Actual631 ,modalityA ,1
482,truth ,Actual631 ,truth ,1
483,Reader6 ,Actual632 ,modalityA ,1
484,truth ,Actual632 ,truth ,1
485,Reader6 ,Actual633 ,modalityA ,1
486,truth ,Actual633 ,truth ,1
487,Reader6 ,Actual634 ,modalityA ,1
488,truth ,Actual634 ,truth ,1
489,Reader6 ,Actual635 ,modalityA ,1
490,truth ,Actual635 ,truth ,1
491,Reader6 ,Actual636 ,modalityA ,1
492,truth ,Actual636 ,truth ,1
493,Reader6 ,Actual637 ,modalityA ,1
494,truth ,Actual637 ,truth ,1
495,Reader6 ,Actual638 ,modalityA ,1
496,truth ,Actual638 ,truth ,1
497,Reader6 ,Actual639 ,modalityA ,1
498,truth ,Actual639 ,truth ,1
499,Reader6 ,Actual640 ,modalityA ,1
500,truth ,Actual640 ,truth ,1
501,Reader6 ,Actual641 ,modalityA ,1
502,truth ,Actual641 ,truth ,1
503,Reader6 ,Actual642 ,modalityA ,1
504,truth ,Actual642 ,truth ,1
505,truth ,Fake101 ,truth ,0
506,truth ,Fake102 ,truth ,0
507,truth ,Fake103 ,truth ,0
508,truth ,Fake104 ,truth ,0
509,truth ,Fake105 ,truth ,0
510,truth ,Fake106 ,truth ,0
511,truth ,Fake107 ,truth ,0
512,truth ,Fake108 ,truth ,0
513,truth ,Fake109 ,truth ,0
514,truth ,Fake110 ,truth ,0
515,truth ,Fake111 ,truth ,0
516,truth ,Fake112 ,truth ,0
517,truth ,Fake113 ,truth ,0
518,truth ,Fake114 ,truth ,0
519,truth ,Fake115 ,truth ,0
520,truth ,Fake116 ,truth ,0
521,truth ,Fake117 ,truth ,0
522,truth ,Fake118 ,truth ,0
523,truth ,Fake119 ,truth ,0
524,truth ,Fake120 ,truth ,0
525,truth ,Fake121 ,truth ,0
526,truth ,Fake122 ,truth ,0
527,truth ,Fake123 ,truth ,0
528,truth ,Fake124 ,truth ,0
529,truth ,Fake125 ,truth ,0
530,truth ,Fake126 ,truth ,0
531,truth ,Fake127 ,truth ,0
532,truth ,Fake128 ,truth ,0
533,truth ,Fake129 ,truth ,0
534,truth ,Fake130 ,truth ,0
535,truth ,Fake131 ,truth ,0
536,truth ,Fake132 ,truth ,0
537,truth ,Fake133 ,truth ,0
538,truth ,Fake134 ,truth ,0
539,truth ,Fake135 ,truth ,0
540,truth ,Fake136 ,truth ,0
541,truth ,Fake137 ,truth ,0
542,truth ,Fake138 ,truth ,0
543,truth ,Fake139 ,truth ,0
544,truth ,Fake140 ,truth ,0
545,truth ,Fake141 ,truth ,0
546,truth ,Fake142 ,truth ,0
547,truth ,Fake201 ,truth ,0
548,truth ,Fake202 ,truth ,0
549,truth ,Fake203 ,truth ,0
550,truth ,Fake204 ,truth ,0
551,truth ,Fake205 ,truth ,0
552,truth ,Fake206 ,truth ,0
553,truth ,Fake207 ,truth ,0
554,truth ,Fake208 ,truth ,0
555,truth ,Fake209 ,truth ,0
556,truth ,Fake210 ,truth ,0
557,truth ,Fake211 ,truth ,0
558,truth ,Fake212 ,truth ,0
559,truth ,Fake213 ,truth ,0
560,truth ,Fake214 ,truth ,0
561,truth ,Fake215 ,truth ,0
562,truth ,Fake216 ,truth ,0
563,truth ,Fake217 ,truth ,0
564,truth ,Fake218 ,truth ,0
565,truth ,Fake219 ,truth ,0
566,truth ,Fake220 ,truth ,0
567,truth ,Fake221 ,truth ,0
568,truth ,Fake222 ,truth ,0
569,truth ,Fake223 ,truth ,0
570,truth ,Fake224 ,truth ,0
571,truth ,Fake225 ,truth ,0
572,truth ,Fake226 ,truth ,0
573,truth ,Fake227 ,truth ,0
574,truth ,Fake228 ,truth ,0
575,truth ,Fake229 ,truth ,0
576,truth ,Fake230 ,truth ,0
577,truth ,Fake231 ,truth ,0
578,truth ,Fake232 ,truth ,0
579,truth ,Fake233 ,truth ,0
580,truth ,Fake234 ,truth ,0
581,truth ,Fake235 ,truth ,0
582,truth ,Fake236 ,truth ,0
583,truth ,Fake237 ,truth ,0
584,truth ,Fake238 ,truth ,0
585,truth ,Fake239 ,truth ,0
586,truth ,Fake240 ,truth ,0
587,truth ,Fake241 ,truth ,0
588,truth ,Fake242 ,truth ,0
589,truth ,Fake301 ,truth ,0
590,truth ,Fake302 ,truth ,0
591,truth ,Fake303 ,truth ,0
592,truth ,Fake304 ,truth ,0
593,truth ,Fake305 ,truth ,0
594,truth ,Fake306 ,truth ,0
595,truth ,Fake307 ,truth ,0
596,truth ,Fake308 ,truth ,0
597,truth ,Fake309 ,truth ,0
598,truth ,Fake310 ,truth ,0
599,truth ,Fake311 ,truth ,0
600,truth ,Fake312 ,truth ,0
601,truth ,Fake313 ,truth ,0
602,truth ,Fake314 ,truth ,0
603,truth ,Fake315 ,truth ,0
604,truth ,Fake316 ,truth ,0
605,truth ,Fake317 ,truth ,0
606,truth ,Fake318 ,truth ,0
607,truth ,Fake319 ,truth ,0
608,truth ,Fake320 ,truth ,0
609,truth ,Fake321 ,truth ,0
610,truth ,Fake322 ,truth ,0
611,truth ,Fake323 ,truth ,0
612,truth ,Fake324 ,truth ,0
613,truth ,Fake325 ,truth ,0
614,truth ,Fake326 ,truth ,0
615,truth ,Fake327 ,truth ,0
616,truth ,Fake328 ,truth ,0
617,truth ,Fake329 ,truth ,0
618,truth ,Fake330 ,truth ,0
619,truth ,Fake331 ,truth ,0
620,truth ,Fake332 ,truth ,0
621,truth ,Fake333 ,truth ,0
622,truth ,Fake334 ,truth ,0
623,truth ,Fake335 ,truth ,0
624,truth ,Fake336 ,truth ,0
625,truth ,Fake337 ,truth ,0
626,truth ,Fake338 ,truth ,0
627,truth ,Fake339 ,truth ,0
628,truth ,Fake340 ,truth ,0
629,truth ,Fake341 ,truth ,0
630,truth ,Fake342 ,truth ,0
631,truth ,Fake401 ,truth ,0
632,truth ,Fake402 ,truth ,0
633,truth ,Fake403 ,truth ,0
634,truth ,Fake404 ,truth ,0
635,truth ,Fake405 ,truth ,0
636,truth ,Fake406 ,truth ,0
637,truth ,Fake407 ,truth ,0
638,truth ,Fake408 ,truth ,0
639,truth ,Fake409 ,truth ,0
640,truth ,Fake410 ,truth ,0
641,truth ,Fake411 ,truth ,0
642,truth ,Fake412 ,truth ,0
643,truth ,Fake413 ,truth ,0
644,truth ,Fake414 ,truth ,0
645,truth ,Fake415 ,truth ,0
646,truth ,Fake416 ,truth ,0
647,truth ,Fake417 ,truth ,0
648,truth ,Fake418 ,truth ,0
649,truth ,Fake419 ,truth ,0
650,truth ,Fake420 ,truth ,0
651,truth ,Fake421 ,truth ,0
652,truth ,Fake422 ,truth ,0
653,truth ,Fake423 ,truth ,0
654,truth ,Fake424 ,truth ,0
655,truth ,Fake425 ,truth ,0
656,truth ,Fake426 ,truth ,0
657,truth ,Fake427 ,truth ,0
658,truth ,Fake428 ,truth ,0
659,truth ,Fake429 ,truth ,0
660,truth ,Fake430 ,truth ,0
661,truth ,Fake431 ,truth ,0
662,truth ,Fake432 ,truth ,0
663,truth ,Fake433 ,truth ,0
664,truth ,Fake434 ,truth ,0
665,truth ,Fake435 ,truth ,0
666,truth ,Fake436 ,truth ,0
667,truth ,Fake437 ,truth ,0
