ReaderID,CaseID,ModalityID,Score
Reader0001 ,Actual8020 ,modalityA ,1
truth ,Actual8020 ,truth ,1
Reader0001 ,Actual8028 ,modalityA ,1
truth ,Actual8028 ,truth ,1
Reader0001 ,Actual8036 ,modalityA ,0
truth ,Actual8036 ,truth ,1
Reader0002 ,Actual1011 ,modalityA ,1
truth ,Actual1011 ,truth ,1
Reader0002 ,Actual1012 ,modalityA ,1
truth ,Actual1012 ,truth ,1
Reader0002 ,Actual1013 ,modalityA ,1
truth ,Actual1013 ,truth ,1
Reader0002 ,Actual1014 ,modalityA ,1
truth ,Actual1014 ,truth ,1
Reader0002 ,Actual1015 ,modalityA ,1
truth ,Actual1015 ,truth ,1
Reader0002 ,Actual1016 ,modalityA ,0
truth ,Actual1016 ,truth ,1
Reader0002 ,Actual1017 ,modalityA ,1
truth ,Actual1017 ,truth ,1
Reader0002 ,Actual1018 ,modalityA ,1
truth ,Actual1018 ,truth ,1
Reader0002 ,Actual1019 ,modalityA ,1
truth ,Actual1019 ,truth ,1
Reader0002 ,Actual2010 ,modalityA ,1
truth ,Actual2010 ,truth ,1
Reader0002 ,Actual2011 ,modalityA ,1
truth ,Actual2011 ,truth ,1
Reader0002 ,Actual2012 ,modalityA ,1
truth ,Actual2012 ,truth ,1
Reader0002 ,Actual2013 ,modalityA ,1
truth ,Actual2013 ,truth ,1
Reader0002 ,Actual2014 ,modalityA ,1
truth ,Actual2014 ,truth ,1
Reader0002 ,Actual2015 ,modalityA ,1
truth ,Actual2015 ,truth ,1
Reader0002 ,Actual2016 ,modalityA ,1
truth ,Actual2016 ,truth ,1
Reader0002 ,Actual2017 ,modalityA ,1
truth ,Actual2017 ,truth ,1
Reader0002 ,Actual2018 ,modalityA ,1
truth ,Actual2018 ,truth ,1
Reader0002 ,Actual4048 ,modalityA ,1
truth ,Actual4048 ,truth ,1
Reader0002 ,Actual4056 ,modalityA ,1
truth ,Actual4056 ,truth ,1
Reader0002 ,Actual4064 ,modalityA ,0
truth ,Actual4064 ,truth ,1
Reader0002 ,Actual4072 ,modalityA ,1
truth ,Actual4072 ,truth ,1
Reader0002 ,Actual8044 ,modalityA ,1
truth ,Actual8044 ,truth ,1
Reader0002 ,Actual8052 ,modalityA ,1
truth ,Actual8052 ,truth ,1
Reader0002 ,Actual8060 ,modalityA ,1
truth ,Actual8060 ,truth ,1
Reader0002 ,Actual8068 ,modalityA ,1
truth ,Actual8068 ,truth ,1
Reader0003 ,Actual1020 ,modalityA ,1
truth ,Actual1020 ,truth ,1
Reader0003 ,Actual1021 ,modalityA ,0
truth ,Actual1021 ,truth ,1
Reader0003 ,Actual1022 ,modalityA ,1
truth ,Actual1022 ,truth ,1
Reader0003 ,Actual1023 ,modalityA ,1
truth ,Actual1023 ,truth ,1
Reader0003 ,Actual1024 ,modalityA ,1
truth ,Actual1024 ,truth ,1
Reader0003 ,Actual1025 ,modalityA ,1
truth ,Actual1025 ,truth ,1
Reader0003 ,Actual1026 ,modalityA ,1
truth ,Actual1026 ,truth ,1
Reader0003 ,Actual1027 ,modalityA ,1
truth ,Actual1027 ,truth ,1
Reader0003 ,Actual1028 ,modalityA ,1
truth ,Actual1028 ,truth ,1
Reader0003 ,Actual2020 ,modalityA ,1
truth ,Actual2020 ,truth ,1
Reader0003 ,Actual2021 ,modalityA ,1
truth ,Actual2021 ,truth ,1
Reader0003 ,Actual2022 ,modalityA ,1
truth ,Actual2022 ,truth ,1
Reader0003 ,Actual2023 ,modalityA ,1
truth ,Actual2023 ,truth ,1
Reader0003 ,Actual2024 ,modalityA ,1
truth ,Actual2024 ,truth ,1
Reader0003 ,Actual2025 ,modalityA ,0
truth ,Actual2025 ,truth ,1
Reader0003 ,Actual2027 ,modalityA ,0
truth ,Actual2027 ,truth ,1
Reader0003 ,Actual2028 ,modalityA ,1
truth ,Actual2028 ,truth ,1
Reader0003 ,Actual2029 ,modalityA ,1
truth ,Actual2029 ,truth ,1
Reader0003 ,Actual4080 ,modalityA ,1
truth ,Actual4080 ,truth ,1
Reader0003 ,Actual4088 ,modalityA ,1
truth ,Actual4088 ,truth ,1
Reader0003 ,Actual4096 ,modalityA ,1
truth ,Actual4096 ,truth ,1
Reader0003 ,Actual4104 ,modalityA ,1
truth ,Actual4104 ,truth ,1
Reader0003 ,Actual4112 ,modalityA ,1
truth ,Actual4112 ,truth ,1
Reader0003 ,Actual8080 ,modalityA ,1
truth ,Actual8080 ,truth ,1
Reader0003 ,Actual8088 ,modalityA ,1
truth ,Actual8088 ,truth ,1
Reader0003 ,Actual8096 ,modalityA ,1
truth ,Actual8096 ,truth ,1
Reader0003 ,Actual8108 ,modalityA ,0
truth ,Actual8108 ,truth ,1
Reader0003 ,Actual8116 ,modalityA ,1
truth ,Actual8116 ,truth ,1
Reader0004 ,Actual1029 ,modalityA ,1
truth ,Actual1029 ,truth ,1
Reader0004 ,Actual1030 ,modalityA ,1
truth ,Actual1030 ,truth ,1
Reader0004 ,Actual1031 ,modalityA ,0
truth ,Actual1031 ,truth ,1
Reader0004 ,Actual1032 ,modalityA ,1
truth ,Actual1032 ,truth ,1
Reader0004 ,Actual1033 ,modalityA ,0
truth ,Actual1033 ,truth ,1
Reader0004 ,Actual1034 ,modalityA ,1
truth ,Actual1034 ,truth ,1
Reader0004 ,Actual1035 ,modalityA ,1
truth ,Actual1035 ,truth ,1
Reader0004 ,Actual1036 ,modalityA ,1
truth ,Actual1036 ,truth ,1
Reader0004 ,Actual1037 ,modalityA ,1
truth ,Actual1037 ,truth ,1
Reader0004 ,Actual2030 ,modalityA ,1
truth ,Actual2030 ,truth ,1
Reader0004 ,Actual2031 ,modalityA ,1
truth ,Actual2031 ,truth ,1
Reader0004 ,Actual2032 ,modalityA ,1
truth ,Actual2032 ,truth ,1
Reader0004 ,Actual2033 ,modalityA ,1
truth ,Actual2033 ,truth ,1
Reader0004 ,Actual2034 ,modalityA ,1
truth ,Actual2034 ,truth ,1
Reader0004 ,Actual2035 ,modalityA ,1
truth ,Actual2035 ,truth ,1
Reader0004 ,Actual2036 ,modalityA ,1
truth ,Actual2036 ,truth ,1
Reader0004 ,Actual2037 ,modalityA ,1
truth ,Actual2037 ,truth ,1
Reader0004 ,Actual2038 ,modalityA ,1
truth ,Actual2038 ,truth ,1
Reader0004 ,Actual4120 ,modalityA ,1
truth ,Actual4120 ,truth ,1
Reader0004 ,Actual4128 ,modalityA ,1
truth ,Actual4128 ,truth ,1
Reader0004 ,Actual4136 ,modalityA ,1
truth ,Actual4136 ,truth ,1
Reader0004 ,Actual4144 ,modalityA ,1
truth ,Actual4144 ,truth ,1
Reader0004 ,Actual8124 ,modalityA ,1
truth ,Actual8124 ,truth ,1
Reader0004 ,Actual8132 ,modalityA ,1
truth ,Actual8132 ,truth ,1
Reader0004 ,Actual8140 ,modalityA ,1
truth ,Actual8140 ,truth ,1
Reader0004 ,Actual8148 ,modalityA ,1
truth ,Actual8148 ,truth ,1
Reader0005 ,Actual3003 ,modalityA ,1
truth ,Actual3003 ,truth ,1
Reader0005 ,Actual3006 ,modalityA ,1
truth ,Actual3006 ,truth ,1
Reader0005 ,Actual3012 ,modalityA ,1
truth ,Actual3012 ,truth ,1
Reader0005 ,Actual3015 ,modalityA ,1
truth ,Actual3015 ,truth ,1
Reader0005 ,Actual3018 ,modalityA ,1
truth ,Actual3018 ,truth ,1
Reader0005 ,Actual3021 ,modalityA ,1
truth ,Actual3021 ,truth ,1
Reader0005 ,Actual3024 ,modalityA ,1
truth ,Actual3024 ,truth ,1
Reader0005 ,Actual3027 ,modalityA ,1
truth ,Actual3027 ,truth ,1
Reader0005 ,Actual3030 ,modalityA ,1
truth ,Actual3030 ,truth ,1
Reader0005 ,Actual4008 ,modalityA ,1
truth ,Actual4008 ,truth ,1
Reader0005 ,Actual4020 ,modalityA ,1
truth ,Actual4020 ,truth ,1
Reader0005 ,Actual4028 ,modalityA ,1
truth ,Actual4028 ,truth ,1
Reader0005 ,Actual4036 ,modalityA ,1
truth ,Actual4036 ,truth ,1
Reader0005 ,Actual6003 ,modalityA ,1
truth ,Actual6003 ,truth ,1
Reader0005 ,Actual6006 ,modalityA ,1
truth ,Actual6006 ,truth ,1
Reader0005 ,Actual6009 ,modalityA ,1
truth ,Actual6009 ,truth ,1
Reader0005 ,Actual6012 ,modalityA ,1
truth ,Actual6012 ,truth ,1
Reader0005 ,Actual6015 ,modalityA ,1
truth ,Actual6015 ,truth ,1
Reader0005 ,Actual6018 ,modalityA ,1
truth ,Actual6018 ,truth ,1
Reader0005 ,Actual6021 ,modalityA ,1
truth ,Actual6021 ,truth ,1
Reader0005 ,Actual6024 ,modalityA ,1
truth ,Actual6024 ,truth ,1
Reader0005 ,Actual6027 ,modalityA ,0
truth ,Actual6027 ,truth ,1
Reader0005 ,Actual8008 ,modalityA ,1
truth ,Actual8008 ,truth ,1
Reader0005 ,Actual8016 ,modalityA ,1
truth ,Actual8016 ,truth ,1
Reader0005 ,Actual8024 ,modalityA ,1
truth ,Actual8024 ,truth ,1
Reader0005 ,Actual8032 ,modalityA ,1
truth ,Actual8032 ,truth ,1
Reader0006 ,Actual3033 ,modalityA ,1
truth ,Actual3033 ,truth ,1
Reader0006 ,Actual3036 ,modalityA ,1
truth ,Actual3036 ,truth ,1
Reader0006 ,Actual3039 ,modalityA ,1
truth ,Actual3039 ,truth ,1
Reader0006 ,Actual3042 ,modalityA ,1
truth ,Actual3042 ,truth ,1
Reader0006 ,Actual3045 ,modalityA ,1
truth ,Actual3045 ,truth ,1
Reader0006 ,Actual3048 ,modalityA ,0
truth ,Actual3048 ,truth ,1
Reader0006 ,Actual3051 ,modalityA ,1
truth ,Actual3051 ,truth ,1
Reader0006 ,Actual3054 ,modalityA ,1
truth ,Actual3054 ,truth ,1
Reader0006 ,Actual3057 ,modalityA ,1
truth ,Actual3057 ,truth ,1
Reader0006 ,Actual4044 ,modalityA ,1
truth ,Actual4044 ,truth ,1
Reader0006 ,Actual4052 ,modalityA ,1
truth ,Actual4052 ,truth ,1
Reader0006 ,Actual4060 ,modalityA ,1
truth ,Actual4060 ,truth ,1
Reader0006 ,Actual4068 ,modalityA ,1
truth ,Actual4068 ,truth ,1
Reader0006 ,Actual4076 ,modalityA ,1
truth ,Actual4076 ,truth ,1
Reader0006 ,Actual6030 ,modalityA ,1
truth ,Actual6030 ,truth ,1
Reader0006 ,Actual6033 ,modalityA ,1
truth ,Actual6033 ,truth ,1
Reader0006 ,Actual6036 ,modalityA ,1
truth ,Actual6036 ,truth ,1
Reader0006 ,Actual6039 ,modalityA ,1
truth ,Actual6039 ,truth ,1
Reader0006 ,Actual6042 ,modalityA ,1
truth ,Actual6042 ,truth ,1
Reader0006 ,Actual6045 ,modalityA ,1
truth ,Actual6045 ,truth ,1
Reader0006 ,Actual6048 ,modalityA ,1
truth ,Actual6048 ,truth ,1
Reader0006 ,Actual6051 ,modalityA ,1
truth ,Actual6051 ,truth ,1
Reader0006 ,Actual6054 ,modalityA ,1
truth ,Actual6054 ,truth ,1
Reader0006 ,Actual8040 ,modalityA ,1
truth ,Actual8040 ,truth ,1
Reader0006 ,Actual8048 ,modalityA ,1
truth ,Actual8048 ,truth ,1
Reader0006 ,Actual8056 ,modalityA ,1
truth ,Actual8056 ,truth ,1
Reader0006 ,Actual8064 ,modalityA ,1
truth ,Actual8064 ,truth ,1
Reader0006 ,Actual8072 ,modalityA ,1
truth ,Actual8072 ,truth ,1
Reader0007 ,Actual3060 ,modalityA ,1
truth ,Actual3060 ,truth ,1
Reader0007 ,Actual3063 ,modalityA ,0
truth ,Actual3063 ,truth ,1
Reader0007 ,Actual3066 ,modalityA ,1
truth ,Actual3066 ,truth ,1
Reader0007 ,Actual3069 ,modalityA ,1
truth ,Actual3069 ,truth ,1
Reader0007 ,Actual3072 ,modalityA ,1
truth ,Actual3072 ,truth ,1
Reader0007 ,Actual3075 ,modalityA ,1
truth ,Actual3075 ,truth ,1
Reader0007 ,Actual3078 ,modalityA ,1
truth ,Actual3078 ,truth ,1
Reader0007 ,Actual3081 ,modalityA ,1
truth ,Actual3081 ,truth ,1
Reader0007 ,Actual3084 ,modalityA ,1
truth ,Actual3084 ,truth ,1
Reader0007 ,Actual4084 ,modalityA ,0
truth ,Actual4084 ,truth ,1
Reader0007 ,Actual4092 ,modalityA ,1
truth ,Actual4092 ,truth ,1
Reader0007 ,Actual4100 ,modalityA ,1
truth ,Actual4100 ,truth ,1
Reader0007 ,Actual4108 ,modalityA ,1
truth ,Actual4108 ,truth ,1
Reader0007 ,Actual6060 ,modalityA ,1
truth ,Actual6060 ,truth ,1
Reader0007 ,Actual6063 ,modalityA ,1
truth ,Actual6063 ,truth ,1
Reader0007 ,Actual6066 ,modalityA ,1
truth ,Actual6066 ,truth ,1
Reader0007 ,Actual6069 ,modalityA ,1
truth ,Actual6069 ,truth ,1
Reader0007 ,Actual6072 ,modalityA ,1
truth ,Actual6072 ,truth ,1
Reader0007 ,Actual6075 ,modalityA ,0
truth ,Actual6075 ,truth ,1
Reader0007 ,Actual6081 ,modalityA ,0
truth ,Actual6081 ,truth ,1
Reader0007 ,Actual6084 ,modalityA ,1
truth ,Actual6084 ,truth ,1
Reader0007 ,Actual6087 ,modalityA ,1
truth ,Actual6087 ,truth ,1
Reader0007 ,Actual8084 ,modalityA ,1
truth ,Actual8084 ,truth ,1
Reader0007 ,Actual8092 ,modalityA ,1
truth ,Actual8092 ,truth ,1
Reader0007 ,Actual8100 ,modalityA ,0
truth ,Actual8100 ,truth ,1
Reader0007 ,Actual8112 ,modalityA ,1
truth ,Actual8112 ,truth ,1
Reader0008 ,Actual3087 ,modalityA ,1
truth ,Actual3087 ,truth ,1
Reader0008 ,Actual3090 ,modalityA ,1
truth ,Actual3090 ,truth ,1
Reader0008 ,Actual3093 ,modalityA ,0
truth ,Actual3093 ,truth ,1
Reader0008 ,Actual3096 ,modalityA ,1
truth ,Actual3096 ,truth ,1
Reader0008 ,Actual3099 ,modalityA ,0
truth ,Actual3099 ,truth ,1
Reader0008 ,Actual3102 ,modalityA ,1
truth ,Actual3102 ,truth ,1
Reader0008 ,Actual3105 ,modalityA ,1
truth ,Actual3105 ,truth ,1
Reader0008 ,Actual3108 ,modalityA ,1
truth ,Actual3108 ,truth ,1
Reader0008 ,Actual3111 ,modalityA ,1
truth ,Actual3111 ,truth ,1
Reader0008 ,Actual4116 ,modalityA ,1
truth ,Actual4116 ,truth ,1
Reader0008 ,Actual4124 ,modalityA ,0
truth ,Actual4124 ,truth ,1
Reader0008 ,Actual4132 ,modalityA ,0
truth ,Actual4132 ,truth ,1
Reader0008 ,Actual4140 ,modalityA ,1
truth ,Actual4140 ,truth ,1
Reader0008 ,Actual4148 ,modalityA ,1
truth ,Actual4148 ,truth ,1
Reader0008 ,Actual6090 ,modalityA ,1
truth ,Actual6090 ,truth ,1
Reader0008 ,Actual6093 ,modalityA ,1
truth ,Actual6093 ,truth ,1
Reader0008 ,Actual6096 ,modalityA ,1
truth ,Actual6096 ,truth ,1
Reader0008 ,Actual6099 ,modalityA ,1
truth ,Actual6099 ,truth ,1
Reader0008 ,Actual6102 ,modalityA ,1
truth ,Actual6102 ,truth ,1
Reader0008 ,Actual6105 ,modalityA ,1
truth ,Actual6105 ,truth ,1
Reader0008 ,Actual6108 ,modalityA ,1
truth ,Actual6108 ,truth ,1
Reader0008 ,Actual6111 ,modalityA ,1
truth ,Actual6111 ,truth ,1
Reader0008 ,Actual6114 ,modalityA ,1
truth ,Actual6114 ,truth ,1
Reader0008 ,Actual8120 ,modalityA ,1
truth ,Actual8120 ,truth ,1
Reader0008 ,Actual8128 ,modalityA ,1
truth ,Actual8128 ,truth ,1
Reader0008 ,Actual8136 ,modalityA ,1
truth ,Actual8136 ,truth ,1
Reader0008 ,Actual8144 ,modalityA ,1
truth ,Actual8144 ,truth ,1
Reader0008 ,Actual8152 ,modalityA ,1
truth ,Actual8152 ,truth ,1
truth ,Fake1001 ,truth ,0
truth ,Fake1002 ,truth ,0
truth ,Fake1004 ,truth ,0
truth ,Fake1005 ,truth ,0
truth ,Fake1006 ,truth ,0
truth ,Fake1007 ,truth ,0
truth ,Fake1008 ,truth ,0
truth ,Fake1009 ,truth ,0
truth ,Fake1010 ,truth ,0
truth ,Fake2001 ,truth ,0
truth ,Fake2002 ,truth ,0
truth ,Fake2003 ,truth ,0
truth ,Fake2004 ,truth ,0
truth ,Fake2005 ,truth ,0
truth ,Fake2006 ,truth ,0
truth ,Fake2007 ,truth ,0
truth ,Fake2008 ,truth ,0
truth ,Fake2009 ,truth ,0
truth ,Fake4004 ,truth ,0
truth ,Fake4016 ,truth ,0
truth ,Fake4024 ,truth ,0
truth ,Fake4032 ,truth ,0
truth ,Fake4040 ,truth ,0
truth ,Fake8004 ,truth ,0
truth ,Fake8012 ,truth ,0
truth ,Fake8020 ,truth ,0
truth ,Fake8028 ,truth ,0
truth ,Fake8036 ,truth ,0
truth ,Fake1011 ,truth ,0
truth ,Fake1012 ,truth ,0
truth ,Fake1013 ,truth ,0
truth ,Fake1014 ,truth ,0
truth ,Fake1015 ,truth ,0
truth ,Fake1016 ,truth ,0
truth ,Fake1017 ,truth ,0
truth ,Fake1018 ,truth ,0
truth ,Fake1019 ,truth ,0
truth ,Fake2010 ,truth ,0
truth ,Fake2011 ,truth ,0
truth ,Fake2012 ,truth ,0
truth ,Fake2013 ,truth ,0
truth ,Fake2014 ,truth ,0
truth ,Fake2015 ,truth ,0
truth ,Fake2016 ,truth ,0
truth ,Fake2017 ,truth ,0
truth ,Fake2018 ,truth ,0
truth ,Fake4048 ,truth ,0
truth ,Fake4056 ,truth ,0
truth ,Fake4064 ,truth ,0
truth ,Fake4072 ,truth ,0
truth ,Fake8044 ,truth ,0
truth ,Fake8052 ,truth ,0
truth ,Fake8060 ,truth ,0
truth ,Fake8068 ,truth ,0
truth ,Fake1020 ,truth ,0
truth ,Fake1021 ,truth ,0
truth ,Fake1022 ,truth ,0
truth ,Fake1023 ,truth ,0
truth ,Fake1024 ,truth ,0
truth ,Fake1025 ,truth ,0
truth ,Fake1026 ,truth ,0
truth ,Fake1027 ,truth ,0
truth ,Fake1028 ,truth ,0
truth ,Fake2020 ,truth ,0
truth ,Fake2021 ,truth ,0
truth ,Fake2022 ,truth ,0
truth ,Fake2023 ,truth ,0
truth ,Fake2024 ,truth ,0
truth ,Fake2025 ,truth ,0
truth ,Fake2027 ,truth ,0
truth ,Fake2028 ,truth ,0
truth ,Fake2029 ,truth ,0
truth ,Fake4080 ,truth ,0
truth ,Fake4088 ,truth ,0
truth ,Fake4096 ,truth ,0
truth ,Fake4104 ,truth ,0
truth ,Fake4112 ,truth ,0
truth ,Fake8080 ,truth ,0
truth ,Fake8088 ,truth ,0
truth ,Fake8096 ,truth ,0
truth ,Fake8108 ,truth ,0
truth ,Fake8116 ,truth ,0
truth ,Fake1029 ,truth ,0
truth ,Fake1030 ,truth ,0
truth ,Fake1031 ,truth ,0
truth ,Fake1032 ,truth ,0
truth ,Fake1033 ,truth ,0
truth ,Fake1034 ,truth ,0
truth ,Fake1035 ,truth ,0
truth ,Fake1036 ,truth ,0
truth ,Fake1037 ,truth ,0
truth ,Fake2030 ,truth ,0
truth ,Fake2031 ,truth ,0
truth ,Fake2032 ,truth ,0
truth ,Fake2033 ,truth ,0
truth ,Fake2034 ,truth ,0
truth ,Fake2035 ,truth ,0
truth ,Fake2036 ,truth ,0
truth ,Fake2037 ,truth ,0
truth ,Fake2038 ,truth ,0
truth ,Fake4120 ,truth ,0
truth ,Fake4128 ,truth ,0
truth ,Fake4136 ,truth ,0
truth ,Fake4144 ,truth ,0
truth ,Fake8124 ,truth ,0
truth ,Fake8132 ,truth ,0
truth ,Fake8140 ,truth ,0
truth ,Fake8148 ,truth ,0
truth ,Fake3003 ,truth ,0
truth ,Fake3006 ,truth ,0
truth ,Fake3012 ,truth ,0
truth ,Fake3015 ,truth ,0
truth ,Fake3018 ,truth ,0
truth ,Fake3021 ,truth ,0
truth ,Fake3024 ,truth ,0
truth ,Fake3027 ,truth ,0
truth ,Fake3030 ,truth ,0
truth ,Fake4008 ,truth ,0
truth ,Fake4020 ,truth ,0
truth ,Fake4028 ,truth ,0
truth ,Fake4036 ,truth ,0
truth ,Fake6003 ,truth ,0
truth ,Fake6006 ,truth ,0
truth ,Fake6009 ,truth ,0
truth ,Fake6012 ,truth ,0
truth ,Fake6015 ,truth ,0
truth ,Fake6018 ,truth ,0
truth ,Fake6021 ,truth ,0
truth ,Fake6024 ,truth ,0
truth ,Fake6027 ,truth ,0
truth ,Fake8008 ,truth ,0
truth ,Fake8016 ,truth ,0
truth ,Fake8024 ,truth ,0
truth ,Fake8032 ,truth ,0
truth ,Fake3033 ,truth ,0
truth ,Fake3036 ,truth ,0
truth ,Fake3039 ,truth ,0
truth ,Fake3042 ,truth ,0
truth ,Fake3045 ,truth ,0
truth ,Fake3048 ,truth ,0
truth ,Fake3051 ,truth ,0
truth ,Fake3054 ,truth ,0
truth ,Fake3057 ,truth ,0
truth ,Fake4044 ,truth ,0
truth ,Fake4052 ,truth ,0
truth ,Fake4060 ,truth ,0
truth ,Fake4068 ,truth ,0
truth ,Fake4076 ,truth ,0
truth ,Fake6030 ,truth ,0
truth ,Fake6033 ,truth ,0
truth ,Fake6036 ,truth ,0
truth ,Fake6039 ,truth ,0
truth ,Fake6042 ,truth ,0
truth ,Fake6045 ,truth ,0
truth ,Fake6048 ,truth ,0
truth ,Fake6051 ,truth ,0
truth ,Fake6054 ,truth ,0
truth ,Fake8040 ,truth ,0
truth ,Fake8048 ,truth ,0
truth ,Fake8056 ,truth ,0
truth ,Fake8064 ,truth ,0
truth ,Fake8072 ,truth ,0
truth ,Fake3060 ,truth ,0
truth ,Fake3063 ,truth ,0
truth ,Fake3066 ,truth ,0
truth ,Fake3069 ,truth ,0
truth ,Fake3072 ,truth ,0
truth ,Fake3075 ,truth ,0
truth ,Fake3078 ,truth ,0
truth ,Fake3081 ,truth ,0
truth ,Fake3084 ,truth ,0
truth ,Fake4084 ,truth ,0
truth ,Fake4092 ,truth ,0
truth ,Fake4100 ,truth ,0
truth ,Fake4108 ,truth ,0
truth ,Fake6060 ,truth ,0
truth ,Fake6063 ,truth ,0
truth ,Fake6066 ,truth ,0
truth ,Fake6069 ,truth ,0
truth ,Fake6072 ,truth ,0
truth ,Fake6075 ,truth ,0
truth ,Fake6081 ,truth ,0
truth ,Fake6084 ,truth ,0
truth ,Fake6087 ,truth ,0
truth ,Fake8084 ,truth ,0
truth ,Fake8092 ,truth ,0
truth ,Fake8100 ,truth ,0
truth ,Fake8112 ,truth ,0
truth ,Fake3087 ,truth ,0
truth ,Fake3090 ,truth ,0
truth ,Fake3093 ,truth ,0
truth ,Fake3096 ,truth ,0
truth ,Fake3099 ,truth ,0
truth ,Fake3102 ,truth ,0
truth ,Fake3105 ,truth ,0
truth ,Fake3108 ,truth ,0
truth ,Fake3111 ,truth ,0
truth ,Fake4116 ,truth ,0
truth ,Fake4124 ,truth ,0
truth ,Fake4132 ,truth ,0
truth ,Fake4140 ,truth ,0
truth ,Fake4148 ,truth ,0
truth ,Fake6090 ,truth ,0
truth ,Fake6093 ,truth ,0
truth ,Fake6096 ,truth ,0
truth ,Fake6099 ,truth ,0
truth ,Fake6102 ,truth ,0
truth ,Fake6105 ,truth ,0
truth ,Fake6108 ,truth ,0
truth ,Fake6111 ,truth ,0
truth ,Fake6114 ,truth ,0
truth ,Fake8120 ,truth ,0
truth ,Fake8128 ,truth ,0
truth ,Fake8136 ,truth ,0
truth ,Fake8144 ,truth ,0
truth ,Fake8152 ,truth ,0
Reader0001 ,Fake1001 ,modalityA ,0.5
Reader0001 ,Fake1002 ,modalityA ,0.5
Reader0001 ,Fake1004 ,modalityA ,0.5
Reader0001 ,Fake1005 ,modalityA ,0.5
Reader0001 ,Fake1006 ,modalityA ,0.5
Reader0001 ,Fake1007 ,modalityA ,0.5
Reader0001 ,Fake1008 ,modalityA ,0.5
Reader0001 ,Fake1009 ,modalityA ,0.5
Reader0001 ,Fake1010 ,modalityA ,0.5
Reader0001 ,Fake2001 ,modalityA ,0.5
Reader0001 ,Fake2002 ,modalityA ,0.5
Reader0001 ,Fake2003 ,modalityA ,0.5
Reader0001 ,Fake2004 ,modalityA ,0.5
Reader0001 ,Fake2005 ,modalityA ,0.5
Reader0001 ,Fake2006 ,modalityA ,0.5
Reader0001 ,Fake2007 ,modalityA ,0.5
Reader0001 ,Fake2008 ,modalityA ,0.5
Reader0001 ,Fake2009 ,modalityA ,0.5
Reader0001 ,Fake4004 ,modalityA ,0.5
Reader0001 ,Fake4016 ,modalityA ,0.5
Reader0001 ,Fake4024 ,modalityA ,0.5
Reader0001 ,Fake4032 ,modalityA ,0.5
Reader0001 ,Fake4040 ,modalityA ,0.5
Reader0001 ,Fake8004 ,modalityA ,0.5
Reader0001 ,Fake8012 ,modalityA ,0.5
Reader0001 ,Fake8020 ,modalityA ,0.5
Reader0001 ,Fake8028 ,modalityA ,0.5
Reader0001 ,Fake8036 ,modalityA ,0.5
Reader0002 ,Fake1011 ,modalityA ,0.5
Reader0002 ,Fake1012 ,modalityA ,0.5
Reader0002 ,Fake1013 ,modalityA ,0.5
Reader0002 ,Fake1014 ,modalityA ,0.5
Reader0002 ,Fake1015 ,modalityA ,0.5
Reader0002 ,Fake1016 ,modalityA ,0.5
Reader0002 ,Fake1017 ,modalityA ,0.5
Reader0002 ,Fake1018 ,modalityA ,0.5
Reader0002 ,Fake1019 ,modalityA ,0.5
Reader0002 ,Fake2010 ,modalityA ,0.5
