ReaderID,CaseID,ModalityID,Score
Reader0003 ,Actual1027 ,modalityA ,1
truth ,Actual1027 ,truth ,1
Reader0003 ,Actual1028 ,modalityA ,1
truth ,Actual1028 ,truth ,1
Reader0004 ,Actual1029 ,modalityA ,1
truth ,Actual1029 ,truth ,1
Reader0004 ,Actual1030 ,modalityA ,1
truth ,Actual1030 ,truth ,1
Reader0004 ,Actual1031 ,modalityA ,1
truth ,Actual1031 ,truth ,1
Reader0004 ,Actual1032 ,modalityA ,1
truth ,Actual1032 ,truth ,1
Reader0004 ,Actual1033 ,modalityA ,0
truth ,Actual1033 ,truth ,1
Reader0004 ,Actual1034 ,modalityA ,1
truth ,Actual1034 ,truth ,1
Reader0004 ,Actual1035 ,modalityA ,1
truth ,Actual1035 ,truth ,1
Reader0004 ,Actual1036 ,modalityA ,1
truth ,Actual1036 ,truth ,1
Reader0004 ,Actual1037 ,modalityA ,1
truth ,Actual1037 ,truth ,1
Reader0001 ,Actual2001 ,modalityA ,1
truth ,Actual2001 ,truth ,1
Reader0001 ,Actual2002 ,modalityA ,1
truth ,Actual2002 ,truth ,1
Reader0001 ,Actual2003 ,modalityA ,1
truth ,Actual2003 ,truth ,1
Reader0001 ,Actual2004 ,modalityA ,1
truth ,Actual2004 ,truth ,1
Reader0001 ,Actual2005 ,modalityA ,1
truth ,Actual2005 ,truth ,1
Reader0001 ,Actual2006 ,modalityA ,1
truth ,Actual2006 ,truth ,1
Reader0001 ,Actual2007 ,modalityA ,1
truth ,Actual2007 ,truth ,1
Reader0001 ,Actual2008 ,modalityA ,1
truth ,Actual2008 ,truth ,1
Reader0001 ,Actual2009 ,modalityA ,1
truth ,Actual2009 ,truth ,1
Reader0002 ,Actual2010 ,modalityA ,1
truth ,Actual2010 ,truth ,1
Reader0002 ,Actual2011 ,modalityA ,1
truth ,Actual2011 ,truth ,1
Reader0002 ,Actual2012 ,modalityA ,1
truth ,Actual2012 ,truth ,1
Reader0002 ,Actual2013 ,modalityA ,1
truth ,Actual2013 ,truth ,1
Reader0002 ,Actual2014 ,modalityA ,1
truth ,Actual2014 ,truth ,1
Reader0002 ,Actual2015 ,modalityA ,1
truth ,Actual2015 ,truth ,1
Reader0002 ,Actual2016 ,modalityA ,1
truth ,Actual2016 ,truth ,1
Reader0002 ,Actual2017 ,modalityA ,1
truth ,Actual2017 ,truth ,1
Reader0002 ,Actual2018 ,modalityA ,1
truth ,Actual2018 ,truth ,1
Reader0003 ,Actual2020 ,modalityA ,1
truth ,Actual2020 ,truth ,1
Reader0003 ,Actual2021 ,modalityA ,1
truth ,Actual2021 ,truth ,1
Reader0003 ,Actual2022 ,modalityA ,1
truth ,Actual2022 ,truth ,1
Reader0003 ,Actual2023 ,modalityA ,1
truth ,Actual2023 ,truth ,1
Reader0003 ,Actual2024 ,modalityA ,1
truth ,Actual2024 ,truth ,1
Reader0003 ,Actual2025 ,modalityA ,1
truth ,Actual2025 ,truth ,1
Reader0003 ,Actual2027 ,modalityA ,0
truth ,Actual2027 ,truth ,1
Reader0003 ,Actual2028 ,modalityA ,1
truth ,Actual2028 ,truth ,1
Reader0003 ,Actual2029 ,modalityA ,1
truth ,Actual2029 ,truth ,1
Reader0004 ,Actual2030 ,modalityA ,1
truth ,Actual2030 ,truth ,1
Reader0004 ,Actual2031 ,modalityA ,1
truth ,Actual2031 ,truth ,1
Reader0004 ,Actual2032 ,modalityA ,1
truth ,Actual2032 ,truth ,1
Reader0004 ,Actual2033 ,modalityA ,1
truth ,Actual2033 ,truth ,1
Reader0004 ,Actual2034 ,modalityA ,1
truth ,Actual2034 ,truth ,1
Reader0004 ,Actual2035 ,modalityA ,1
truth ,Actual2035 ,truth ,1
Reader0004 ,Actual2036 ,modalityA ,1
truth ,Actual2036 ,truth ,1
Reader0004 ,Actual2037 ,modalityA ,1
truth ,Actual2037 ,truth ,1
Reader0004 ,Actual2038 ,modalityA ,1
truth ,Actual2038 ,truth ,1
truth ,Fake1001 ,truth ,0
truth ,Fake1002 ,truth ,0
truth ,Fake1004 ,truth ,0
truth ,Fake1005 ,truth ,0
truth ,Fake1006 ,truth ,0
truth ,Fake1007 ,truth ,0
truth ,Fake1008 ,truth ,0
truth ,Fake1009 ,truth ,0
truth ,Fake1010 ,truth ,0
truth ,Fake1011 ,truth ,0
truth ,Fake1012 ,truth ,0
truth ,Fake1013 ,truth ,0
truth ,Fake1014 ,truth ,0
truth ,Fake1015 ,truth ,0
truth ,Fake1016 ,truth ,0
truth ,Fake1017 ,truth ,0
truth ,Fake1018 ,truth ,0
truth ,Fake1019 ,truth ,0
truth ,Fake1020 ,truth ,0
truth ,Fake1021 ,truth ,0
truth ,Fake1022 ,truth ,0
truth ,Fake1023 ,truth ,0
truth ,Fake1024 ,truth ,0
truth ,Fake1025 ,truth ,0
truth ,Fake1026 ,truth ,0
truth ,Fake1027 ,truth ,0
truth ,Fake1028 ,truth ,0
truth ,Fake1029 ,truth ,0
truth ,Fake1030 ,truth ,0
truth ,Fake1031 ,truth ,0
truth ,Fake1032 ,truth ,0
truth ,Fake1033 ,truth ,0
truth ,Fake1034 ,truth ,0
truth ,Fake1035 ,truth ,0
truth ,Fake1036 ,truth ,0
truth ,Fake1037 ,truth ,0
truth ,Fake2001 ,truth ,0
truth ,Fake2002 ,truth ,0
truth ,Fake2003 ,truth ,0
truth ,Fake2004 ,truth ,0
truth ,Fake2005 ,truth ,0
truth ,Fake2006 ,truth ,0
truth ,Fake2007 ,truth ,0
truth ,Fake2008 ,truth ,0
truth ,Fake2009 ,truth ,0
truth ,Fake2010 ,truth ,0
truth ,Fake2011 ,truth ,0
truth ,Fake2012 ,truth ,0
truth ,Fake2013 ,truth ,0
truth ,Fake2014 ,truth ,0
truth ,Fake2015 ,truth ,0
truth ,Fake2016 ,truth ,0
truth ,Fake2017 ,truth ,0
truth ,Fake2018 ,truth ,0
truth ,Fake2020 ,truth ,0
truth ,Fake2021 ,truth ,0
truth ,Fake2022 ,truth ,0
truth ,Fake2023 ,truth ,0
truth ,Fake2024 ,truth ,0
truth ,Fake2025 ,truth ,0
truth ,Fake2027 ,truth ,0
truth ,Fake2028 ,truth ,0
truth ,Fake2029 ,truth ,0
truth ,Fake2030 ,truth ,0
truth ,Fake2031 ,truth ,0
truth ,Fake2032 ,truth ,0
truth ,Fake2033 ,truth ,0
truth ,Fake2034 ,truth ,0
truth ,Fake2035 ,truth ,0
truth ,Fake2036 ,truth ,0
truth ,Fake2037 ,truth ,0
truth ,Fake2038 ,truth ,0
Reader0001 ,Fake1001 ,modalityA ,0.5
Reader0001 ,Fake1002 ,modalityA ,0.5
Reader0001 ,Fake1004 ,modalityA ,0.5
Reader0001 ,Fake1005 ,modalityA ,0.5
Reader0001 ,Fake1006 ,modalityA ,0.5
Reader0001 ,Fake1007 ,modalityA ,0.5
Reader0001 ,Fake1008 ,modalityA ,0.5
Reader0001 ,Fake1009 ,modalityA ,0.5
Reader0001 ,Fake1010 ,modalityA ,0.5
Reader0002 ,Fake1011 ,modalityA ,0.5
Reader0002 ,Fake1012 ,modalityA ,0.5
Reader0002 ,Fake1013 ,modalityA ,0.5
Reader0002 ,Fake1014 ,modalityA ,0.5
Reader0002 ,Fake1015 ,modalityA ,0.5
Reader0002 ,Fake1016 ,modalityA ,0.5
Reader0002 ,Fake1017 ,modalityA ,0.5
Reader0002 ,Fake1018 ,modalityA ,0.5
Reader0002 ,Fake1019 ,modalityA ,0.5
Reader0003 ,Fake1020 ,modalityA ,0.5
Reader0003 ,Fake1021 ,modalityA ,0.5
Reader0003 ,Fake1022 ,modalityA ,0.5
Reader0003 ,Fake1023 ,modalityA ,0.5
Reader0003 ,Fake1024 ,modalityA ,0.5
Reader0003 ,Fake1025 ,modalityA ,0.5
Reader0003 ,Fake1026 ,modalityA ,0.5
Reader0003 ,Fake1027 ,modalityA ,0.5
Reader0003 ,Fake1028 ,modalityA ,0.5
Reader0004 ,Fake1029 ,modalityA ,0.5
Reader0004 ,Fake1030 ,modalityA ,0.5
Reader0004 ,Fake1031 ,modalityA ,0.5
Reader0004 ,Fake1032 ,modalityA ,0.5
Reader0004 ,Fake1033 ,modalityA ,0.5
Reader0004 ,Fake1034 ,modalityA ,0.5
Reader0004 ,Fake1035 ,modalityA ,0.5
Reader0004 ,Fake1036 ,modalityA ,0.5
Reader0004 ,Fake1037 ,modalityA ,0.5
Reader0001 ,Fake2001 ,modalityA ,0.5
Reader0001 ,Fake2002 ,modalityA ,0.5
Reader0001 ,Fake2003 ,modalityA ,0.5
Reader0001 ,Fake2004 ,modalityA ,0.5
Reader0001 ,Fake2005 ,modalityA ,0.5
Reader0001 ,Fake2006 ,modalityA ,0.5
Reader0001 ,Fake2007 ,modalityA ,0.5
Reader0001 ,Fake2008 ,modalityA ,0.5
Reader0001 ,Fake2009 ,modalityA ,0.5
Reader0002 ,Fake2010 ,modalityA ,0.5
Reader0002 ,Fake2011 ,modalityA ,0.5
Reader0002 ,Fake2012 ,modalityA ,0.5
Reader0002 ,Fake2013 ,modalityA ,0.5
Reader0002 ,Fake2014 ,modalityA ,0.5
Reader0002 ,Fake2015 ,modalityA ,0.5
Reader0002 ,Fake2016 ,modalityA ,0.5
Reader0002 ,Fake2017 ,modalityA ,0.5
Reader0002 ,Fake2018 ,modalityA ,0.5
Reader0003 ,Fake2020 ,modalityA ,0.5
Reader0003 ,Fake2021 ,modalityA ,0.5
Reader0003 ,Fake2022 ,modalityA ,0.5
Reader0003 ,Fake2023 ,modalityA ,0.5
Reader0003 ,Fake2024 ,modalityA ,0.5
Reader0003 ,Fake2025 ,modalityA ,0.5
Reader0003 ,Fake2027 ,modalityA ,0.5
Reader0003 ,Fake2028 ,modalityA ,0.5
Reader0003 ,Fake2029 ,modalityA ,0.5
Reader0004 ,Fake2030 ,modalityA ,0.5
Reader0004 ,Fake2031 ,modalityA ,0.5
Reader0004 ,Fake2032 ,modalityA ,0.5
Reader0004 ,Fake2033 ,modalityA ,0.5
Reader0004 ,Fake2034 ,modalityA ,0.5
Reader0004 ,Fake2035 ,modalityA ,0.5
Reader0004 ,Fake2036 ,modalityA ,0.5
Reader0004 ,Fake2037 ,modalityA ,0.5
Reader0004 ,Fake2038 ,modalityA ,0.5
