ReaderID,CaseID,Modality,Score
reader2,Actual16,ModalityA,1
reader2,Actual17,ModalityA,1
reader2,Actual18,ModalityA,1
reader2,Actual19,ModalityA,1
reader2,Actual20,ModalityA,1
reader2,Actual21,ModalityA,1
reader2,Actual22,ModalityA,1
reader2,Actual23,ModalityA,1
reader2,Actual24,ModalityA,1
reader2,Actual25,ModalityA,1
reader2,Actual26,ModalityA,1
reader2,Actual27,ModalityA,1
reader2,Actual28,ModalityA,1
reader2,Actual29,ModalityA,1
reader2,Actual30,ModalityA,1
reader2,Actual31,ModalityA,1
reader2,Actual32,ModalityA,1
reader2,Actual33,ModalityA,1
reader2,Actual34,ModalityA,1
reader2,Actual35,ModalityA,1
reader2,Actual36,ModalityA,1
reader2,Actual37,ModalityA,1
reader2,Actual38,ModalityA,1
reader2,Actual39,ModalityA,0
reader3,Actual1,ModalityA,1
reader3,Actual2,ModalityA,1
reader3,Actual3,ModalityA,1
reader3,Actual4,ModalityA,1
reader3,Actual5,ModalityA,1
reader3,Actual6,ModalityA,1
reader3,Actual7,ModalityA,1
reader3,Actual8,ModalityA,1
reader3,Actual9,ModalityA,1
reader3,Actual10,ModalityA,1
reader3,Actual11,ModalityA,1
reader3,Actual12,ModalityA,1
reader3,Actual13,ModalityA,1
reader3,Actual14,ModalityA,1
reader3,Actual15,ModalityA,1
reader3,Actual16,ModalityA,1
reader3,Actual17,ModalityA,1
reader3,Actual18,ModalityA,1
reader3,Actual19,ModalityA,1
reader3,Actual20,ModalityA,1
reader3,Actual21,ModalityA,1
reader3,Actual22,ModalityA,1
reader3,Actual23,ModalityA,1
reader3,Actual24,ModalityA,1
reader3,Actual25,ModalityA,1
reader3,Actual26,ModalityA,1
reader3,Actual27,ModalityA,1
reader3,Actual28,ModalityA,1
reader3,Actual29,ModalityA,1
reader3,Actual30,ModalityA,1
reader3,Actual31,ModalityA,1
reader3,Actual32,ModalityA,1
reader3,Actual33,ModalityA,1
reader3,Actual34,ModalityA,1
reader3,Actual35,ModalityA,1
reader3,Actual36,ModalityA,1
reader3,Actual37,ModalityA,1
reader3,Actual38,ModalityA,0
reader3,Actual39,ModalityA,0
reader4,Actual1,ModalityA,1
reader4,Actual2,ModalityA,1
reader4,Actual3,ModalityA,1
reader4,Actual4,ModalityA,1
reader4,Actual5,ModalityA,1
reader4,Actual6,ModalityA,1
reader4,Actual7,ModalityA,1
reader4,Actual8,ModalityA,1
reader4,Actual9,ModalityA,1
reader4,Actual10,ModalityA,1
reader4,Actual11,ModalityA,1
reader4,Actual12,ModalityA,1
reader4,Actual13,ModalityA,1
reader4,Actual14,ModalityA,1
reader4,Actual15,ModalityA,1
reader4,Actual16,ModalityA,1
reader4,Actual17,ModalityA,1
reader4,Actual18,ModalityA,1
reader4,Actual19,ModalityA,1
reader4,Actual20,ModalityA,1
reader4,Actual21,ModalityA,1
reader4,Actual22,ModalityA,1
reader4,Actual23,ModalityA,1
reader4,Actual24,ModalityA,1
reader4,Actual25,ModalityA,1
reader4,Actual26,ModalityA,1
reader4,Actual27,ModalityA,1
reader4,Actual28,ModalityA,1
reader4,Actual29,ModalityA,1
reader4,Actual30,ModalityA,1
reader4,Actual31,ModalityA,1
reader4,Actual32,ModalityA,1
reader4,Actual33,ModalityA,1
reader4,Actual34,ModalityA,1
reader4,Actual35,ModalityA,1
reader4,Actual36,ModalityA,1
reader4,Actual37,ModalityA,1
reader4,Actual38,ModalityA,1
reader4,Actual39,ModalityA,1
reader5,Actual1,ModalityA,1
reader5,Actual2,ModalityA,1
reader5,Actual3,ModalityA,1
reader5,Actual4,ModalityA,1
reader5,Actual5,ModalityA,1
reader5,Actual6,ModalityA,1
reader5,Actual7,ModalityA,1
reader5,Actual8,ModalityA,1
reader5,Actual9,ModalityA,1
reader5,Actual10,ModalityA,1
reader5,Actual11,ModalityA,1
reader5,Actual12,ModalityA,1
reader5,Actual13,ModalityA,1
reader5,Actual14,ModalityA,1
reader5,Actual15,ModalityA,1
reader5,Actual16,ModalityA,1
reader5,Actual17,ModalityA,1
reader5,Actual18,ModalityA,1
reader5,Actual19,ModalityA,1
reader5,Actual20,ModalityA,1
reader5,Actual21,ModalityA,1
reader5,Actual22,ModalityA,1
reader5,Actual23,ModalityA,1
reader5,Actual24,ModalityA,1
reader5,Actual25,ModalityA,1
reader5,Actual26,ModalityA,1
reader5,Actual27,ModalityA,1
reader5,Actual28,ModalityA,1
reader5,Actual29,ModalityA,1
reader5,Actual30,ModalityA,1
reader5,Actual31,ModalityA,1
reader5,Actual32,ModalityA,1
reader5,Actual33,ModalityA,1
reader5,Actual34,ModalityA,1
reader5,Actual35,ModalityA,1
reader5,Actual36,ModalityA,0
reader5,Actual37,ModalityA,0
reader5,Actual38,ModalityA,0
reader5,Actual39,ModalityA,0
